"rank","title","lifetime_gross","year"
1,"Avatar","2900000000",2009
2,"Avenger:Endgame","2700000000",2019
3,"Titanic","2200000000",1997
4,"Avatar:The Way Of Water","2100000000",2022
5,"Star Wars:The Force Awakens","2000000000",2015
6,"Avengers:Infinity War","1000000000",2018
